COMPANY_CD(String),ContactName(String),COMPANY_NM(String),PRODUCT_CD(Integer),PRODUCT_NM(String),QTY(Integer),discount(Float),COST(Float),OrderDate(DateTime)
ALFKI,Maria Anders,Alfreds Futterkiste,39,Chartreuse verte,21,"0.25",18,09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,76,Lakkalikoori,15,0,18,11/13/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,28,Rossle Sauerkraut,2,0,"45.6",04/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,28,Rossle Sauerkraut,15,"0.25","45.6",09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,77,Original Frankfurter grune Sosse,2,"0.2",13,02/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,63,Vegie-spread,20,0,"43.9",11/03/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,71,Flotemysost,20,0,"21.5",05/09/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,59,Raclette Courdavault,15,0,55,02/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,6,Grandma's Boysenberry Spread,16,"0.05",25,04/15/1996 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,3,Aniseed Syrup,6,0,10,11/13/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,46,Spegesild,2,"0.25",12,09/25/1995 0:00:00
ALFKI,Maria Anders,Alfreds Futterkiste,58,Escargots de Bourgogne,40,"0.05","13.25",05/09/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,14,Tofu,3,0,"23.25",09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,60,Camembert Pierrot,10,0,34,09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,69,Gudbrandsdalsost,1,0,"28.8",10/19/1994 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,72,Mozzarella di Giovanni,10,0,"34.8",04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,19,Teatime Chocolate Biscuits,7,0,"9.2",04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,13,Konbu,10,0,6,04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,11,Queso Cabrales,2,0,21,04/03/1996 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,42,Singaporean Hokkien Fried Mee,5,0,14,09/08/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,32,Mascarpone Fabioli,10,0,32,12/29/1995 0:00:00
ANATR,Ana Trujillo,Ana Trujillo Emparedados y helados,70,Outback Lager,5,0,12,10/19/1994 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,59,Raclette Courdavault,15,"0.1",55,06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,57,Ravioli Angelo,5,"0.1","19.5",06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,48,Chocolade,15,"0.15","12.75",05/16/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,33,Geitost,8,"0.15","2.5",10/23/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,11,Queso Cabrales,24,0,"16.8",12/28/1994 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,26,Gumbar Gummibarchen,30,"0.15","31.23",10/23/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,17,Alice Mutton,18,0,39,07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,34,Sasquatch Ale,40,0,14,07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,33,Geitost,30,0,"2.5",10/26/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,2,Chang,20,0,19,02/28/1996 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,40,Boston Crab Meat,10,"0.1","18.4",06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,11,Queso Cabrales,50,"0.1",21,06/13/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,66,Louisiana Hot Spiced Okra,4,0,17,10/26/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,43,Ipoh Coffee,15,"0.15",46,05/16/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,53,Perth Pasties,25,0,"32.8",07/20/1995 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,42,Singaporean Hokkien Fried Mee,20,0,14,02/28/1996 0:00:00
ANTON,Antonio Moreno,Antonio Moreno Taqueria,75,Rhonbrau Klosterbier,30,0,"7.75",10/26/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,48,Chocolade,15,"0.1","10.2",03/24/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,47,Zaanse koeken,25,0,"9.5",07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,52,Filo Mix,30,0,7,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,50,Valkoinen suklaa,24,0,"16.25",04/02/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,53,Perth Pasties,18,0,"32.8",07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,31,Gorgonzola Telino,15,0,"12.5",05/10/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,50,Valkoinen suklaa,15,0,13,01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,22,Gustaf's Knackebrod,4,0,21,01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,31,Gorgonzola Telino,50,"0.05","12.5",04/15/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,2,Chang,15,"0.2",19,12/15/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,56,Gnocchi di nonna Alice,20,0,"30.4",01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,60,Camembert Pierrot,15,0,34,01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,57,Ravioli Angelo,40,0,"19.5",11/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,52,Filo Mix,8,0,7,01/24/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,20,Sir Rodney's Marmalade,50,"0.05",81,04/15/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,67,Laughing Lumberjack Lager,15,0,14,03/04/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,57,Ravioli Angelo,25,0,"15.6",12/16/1994 0:00:00
AROUT,Thomas Hardy,Around the Horn,35,Steeleye Stout,4,0,18,03/04/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,71,Flotemysost,12,0,"21.5",01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,24,Guarana Fantastica,25,0,"3.6",12/16/1994 0:00:00
AROUT,Thomas Hardy,Around the Horn,51,Manjimup Dried Apples,20,0,53,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,36,Inlagd Sill,16,0,19,05/10/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,70,Outback Lager,25,"0.1",12,03/24/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,41,Jack's New England Clam Chowder,14,0,"9.65",01/24/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,13,Konbu,20,0,"4.8",01/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,73,Rod Kaviar,3,0,15,07/05/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,46,Spegesild,28,"0.05",12,12/18/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,70,Outback Lager,28,"0.15",15,11/16/1995 0:00:00
AROUT,Thomas Hardy,Around the Horn,31,Gorgonzola Telino,50,0,"12.5",01/08/1996 0:00:00
AROUT,Thomas Hardy,Around the Horn,55,Pate chinois,21,0,24,11/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,60,Camembert Pierrot,15,0,"27.2",01/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,26,Gumbar Gummibarchen,35,"0.25","31.23",02/28/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,75,Rhonbrau Klosterbier,15,"0.1","7.75",07/19/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,55,Pate chinois,20,0,"19.2",09/14/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,3,Aniseed Syrup,30,0,10,02/28/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,75,Rhonbrau Klosterbier,30,0,"6.2",09/14/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,60,Camembert Pierrot,20,0,34,09/11/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,40,Boston Crab Meat,50,0,"18.4",07/19/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,73,Rod Kaviar,25,0,12,09/12/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,4,Chef Anton's Cajun Seasoning,12,"0.1",22,10/03/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,39,Chartreuse verte,20,"0.1",18,10/03/1995 0:00:00
